Time	L_BF	L_GAL	L_TA	L_VL	R_BF	R_GAL	R_TA	R_VL
0.054	-0.002546	0.000719	-0.028721	0.000362	0.002391	-0.01404	-0.007767	0.005262
0.0545	-0.006158	0.00026	-0.01716	-0.007416	-0.002032	-0.037095	-0.004991	0.004425
0.055	-0.009912	-0.000356	-0.014219	-0.012614	-0.001981	-0.058374	-0.004242	0.002265
0.0555	-0.011505	-0.000614	-0.032232	-0.012623	0.000767	-0.050895	-0.002623	0.001447
0.056	-0.010833	-0.000392	-0.065566	-0.00595	0.001555	-0.01542	0.001114	0.002189
0.0565	-0.009767	0.000176	-0.097176	0.003792	0.000381	0.02114	0.004246	0.001597
0.057	-0.009922	0.000324	-0.111815	0.011276	-1e-06	0.035295	0.005033	-5.4e-05
0.0575	-0.011224	-0.00079	-0.100938	0.013676	0.001444	0.025249	0.005326	-0.000902
0.058	-0.01313	-0.0029	-0.060697	0.011271	0.003844	0.006507	0.005797	-0.002548
0.0585	-0.015359	-0.003424	-0.000653	0.006821	0.00574	-0.00552	0.003801	-0.007783
0.059	-0.017156	-0.001371	0.050948	0.004901	0.005636	-0.00774	-0.002204	-0.014888
0.0595	-0.018431	0.000743	0.077396	0.00761	0.004092	-0.004652	-0.009861	-0.018956
0.06	-0.019589	0.001404	0.100829	0.011993	0.00351	0.00101	-0.014342	-0.019089
0.0605	-0.019461	0.000749	0.151416	0.014924	0.003997	0.00924	-0.013184	-0.018244
0.061	-0.017177	-0.000897	0.220416	0.015628	0.003544	0.020362	-0.010859	-0.018259
0.0615	-0.014469	-0.002813	0.266369	0.01497	0.001204	0.03305	-0.013338	-0.018065
0.062	-0.012196	-0.004185	0.254832	0.013018	-0.002991	0.042542	-0.018714	-0.016229
0.0625	-0.008651	-0.0049	0.177849	0.005408	-0.00807	0.043487	-0.020517	-0.015196
0.063	-0.004521	-0.006173	0.057619	-0.01028	-0.011005	0.035557	-0.016645	-0.017405
0.0635	-0.003114	-0.007982	-0.054601	-0.027602	-0.009284	0.024386	-0.00891	-0.019662
0.064	-0.003978	-0.007601	-0.107366	-0.039336	-0.005367	0.016911	0.000318	-0.018419
0.0645	-0.003215	-0.003312	-0.092264	-0.045744	-0.0034	0.016051	0.007705	-0.01574
0.065	-0.00079	0.003242	-0.049416	-0.048626	-0.002822	0.019886	0.009781	-0.014607
0.0655	-0.000796	0.008698	-0.026504	-0.045383	-0.002464	0.024786	0.006068	-0.013741
0.066	-0.003812	0.011135	-0.041142	-0.034404	-0.003879	0.025941	-0.000717	-0.012028
0.0665	-0.006098	0.010879	-0.078864	-0.017814	-0.005548	0.015139	-0.00806	-0.011077
0.067	-0.005984	0.008246	-0.110968	0.001058	-0.004751	-0.013286	-0.012792	-0.01054
0.0675	-0.004836	0.003666	-0.116732	0.016948	-0.003266	-0.053458	-0.009575	-0.007309
0.068	-0.003689	-0.001032	-0.097802	0.025708	-0.003172	-0.09382	0.002134	-0.000304
0.0685	-0.00276	-0.004186	-0.071683	0.029059	-0.003768	-0.126702	0.014893	0.007625
0.069	-0.002268	-0.005342	-0.057765	0.031442	-0.003942	-0.142863	0.022449	0.013041
0.0695	-0.001863	-0.004705	-0.067688	0.033425	-0.002197	-0.128594	0.02515	0.014223
0.07	-0.00084	-0.003122	-0.089613	0.031687	0.001572	-0.083221	0.024919	0.012622
0.0705	0.001144	-0.000865	-0.082257	0.025729	0.003828	-0.029031	0.022214	0.012657
0.071	0.003863	0.002587	-0.01291	0.018626	0.002272	0.010967	0.01766	0.015754
0.0715	0.005886	0.005595	0.092956	0.011716	-0.000586	0.036259	0.013187	0.019196
0.0720000000000001	0.006556	0.005131	0.168437	0.005115	-0.002064	0.060231	0.011295	0.021542
0.0725000000000001	0.007915	0.000802	0.176932	0.001423	-0.002147	0.085686	0.011846	0.021983
0.0730000000000001	0.011158	-0.005122	0.140042	0.002969	-0.001434	0.098703	0.011805	0.01896
0.0735000000000001	0.014285	-0.009618	0.094432	0.006338	-0.000794	0.08712	0.010442	0.014436
0.0740000000000001	0.015531	-0.010454	0.053474	0.005933	-0.000351	0.0566	0.009712	0.012311
0.0745000000000001	0.015891	-0.008411	0.016055	0.001495	0.001154	0.024568	0.009664	0.012368
0.0750000000000001	0.01644	-0.007011	-0.015619	-0.002669	0.003033	0.003293	0.009077	0.011906
0.0755000000000001	0.016113	-0.00749	-0.037692	-0.002828	0.00355	-0.007877	0.008128	0.010387
0.0760000000000001	0.014301	-0.006972	-0.049938	0.00071	0.003276	-0.014809	0.007473	0.009331
0.0765000000000001	0.012376	-0.004035	-0.055028	0.00372	0.003194	-0.015396	0.006198	0.009124
0.0770000000000001	0.011642	-0.000364	-0.05954	0.003422	0.003553	-0.000952	0.003083	0.008165
0.0775000000000001	0.011637	0.00312	-0.072861	0.001771	0.004827	0.024269	-0.000545	0.006463
0.0780000000000001	0.010688	0.006461	-0.096263	0.000724	0.006158	0.036774	-0.003225	0.005895
0.0785000000000001	0.008664	0.009075	-0.118485	-0.000804	0.005645	0.018927	-0.00549	0.005612
0.0790000000000001	0.006817	0.009799	-0.129116	-0.002417	0.00341	-0.015906	-0.006669	0.003654
0.0795000000000001	0.005768	0.007618	-0.12549	-0.002185	0.001026	-0.034165	-0.005316	0.001472
0.0800000000000001	0.007719	0.003672	-0.104557	-0.001514	-0.000266	-0.021862	-0.003049	0.000556
0.0805000000000001	0.015683	0.000918	-0.062835	-0.001904	-0.000203	-0.002853	-0.003295	-6e-06
0.0810000000000001	0.028635	0.000425	-0.00655	-0.001796	-0.000707	-0.006077	-0.007052	-0.000478
0.0815000000000001	0.04221	0.000785	0.046896	-0.001231	-0.00289	-0.029145	-0.011814	-0.000731
0.0820000000000001	0.052745	0.000727	0.080105	-0.002144	-0.003974	-0.048838	-0.014677	-0.001395
0.0825000000000001	0.058582	-0.000434	0.087094	-0.003699	-0.002357	-0.0537	-0.015658	-0.002067
0.0830000000000001	0.058189	-0.003284	0.078724	-0.002651	-0.000566	-0.051581	-0.016911	-0.000948
0.0835000000000001	0.049089	-0.006255	0.077246	0.000781	3.4e-05	-0.051896	-0.019648	0.002077
0.0840000000000001	0.03247	-0.006274	0.093234	0.002123	1e-05	-0.054419	-0.022481	0.004842
0.0845000000000001	0.016781	-0.003623	0.10894	0.000321	-0.001397	-0.055907	-0.023047	0.006168
0.0850000000000001	0.009752	-0.001762	0.098967	-0.00086	-0.003822	-0.056031	-0.020663	0.005877
0.0855000000000001	0.008878	-0.002713	0.065859	0.000327	-0.005004	-0.052075	-0.015271	0.004145
0.0860000000000001	0.006236	-0.005018	0.04025	0.001637	-0.004492	-0.035578	-0.006317	0.002759
0.0865000000000001	-0.001142	-0.005002	0.044678	0.00101	-0.003979	-0.004137	0.003759	0.003229
0.0870000000000001	-0.009041	-0.001407	0.070406	-0.001199	-0.004864	0.024959	0.008609	0.004424
0.0875000000000001	-0.009459	0.001984	0.090809	-0.003496	-0.00662	0.027535	0.004634	0.004898
0.0880000000000001	0.000972	0.002381	0.085479	-0.004519	-0.007309	0.002988	-0.004533	0.005387
0.0885000000000001	0.007982	0.002689	0.052078	-0.004104	-0.006066	-0.023685	-0.011729	0.006329
0.0890000000000001	-0.015156	0.004882	0.009318	-0.002779	-0.004727	-0.032762	-0.012181	0.006959
0.0895000000000001	-0.070025	0.005896	-0.016385	-0.002378	-0.00541	-0.025806	-0.0067	0.006963
